Series Name,Series Code,Country Name,Country Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.83227780370231,1.41411798021916,11.2297148388595,5.35740324754602,13.8263195390595,3.92498382284523,21.390528405312,14.3624414596815,0.426354792856571,12.7522870825788,5.60074466131904,2.72454336495028,1.45131465458005,2.2603142045464,2.66529204636834,1.03066005804328,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Albania,ALB,..,..,..,..,..,..,..,..,..,..,..,5.7456352920068,2.9485968015687,1.104938261827,-1.25159664469855,1.78064395977269,5.63724317825185,-0.787842655012938,-1.42003965482247,9.83654897047623,-9.57564016948645,-28.002141656046,-7.18711091636951,9.55941169434753,8.30286659112861,13.3223333200803,9.09999944360231,-10.9199840851035,8.83008770869769,12.8898967331889,6.95003613422918,8.29007002725659,4.53996064044719,5.53005077793323,5.5099986931984,5.52991480926491,5.90008395738064,5.97998203625438,7.49996956029166,3.3499939006005,3.70688068400311,2.5454053935363,1.41752599216282,1.00198792581364,1.77000029658963,2.23000017922044,3.34999968813095,3.83661965642376,4.00441323438758,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Algeria,DZA,8.86265710850896,-11.3317191681938,27.4239694802383,3.81317629707436,7.49491770344765,5.04534161311491,8.38675648360112,5.25858598739262,9.21483570123162,7.47782655012739,0.790606972981209,2.99999608742773,6.40000411580053,5.40000302352237,5.59999652973113,3.6999972551931,0.400001002558241,-0.699997525864305,-1.00000549032958,4.40000216037426,0.800000579981415,-1.20000058439054,1.80000230101803,-2.10000075921401,-0.899996548849487,3.79999478987638,4.09999846975579,1.09999993785055,5.10000361050234,3.20000155059535,3.81967849559879,3.00839546613716,5.60932318983274,7.20187224401604,4.30162426436429,5.90779126808133,1.68448831869128,3.37287515437164,2.36013486105327,1.63224383752232,3.63414535334246,2.89186599464848,3.37476865068784,2.76763886677112,3.78912121166823,3.76346695783126,3.29999999975597,1.60000000052275,2.10000000000001,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.814111261872455,0.538358008075377,-0.401606425702823,-4.16666666666666,1.96353436185133,-2.61348005502063,-4.23728813559322,0.442477876106182,0.293685756240819,-4.39238653001463,-2.75650842266462,0.944881889763778,1.24804992199688,-2.61941448382126,-5.37974683544303,..,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Andorra,AND,..,4.64946536081882,8.14974348860618,7.78846720294044,5.61878972962946,0.542205658763706,3.30378704950753,2.83857556610091,1.46300017893419,0.0415571951292861,2.20872760693054,-0.132474511474584,1.24646111342553,1.7701183169325,1.78468669356819,2.32143303219918,3.2533217783064,5.54712217053806,5.09432620323219,4.82703424406914,3.7813875896292,2.54600287187638,0.929211956288896,-1.0314840109579,2.38318769098804,2.7574991873297,4.6497401487506,9.06767219910516,3.19479029605851,4.09908083663409,3.52836129711109,4.54676831970609,6.47101467082791,12.1687198869046,7.64786979021986,7.39698271536501,4.53635311915991,0.0400110668908411,-8.59000378676674,-3.69065350958851,-5.35882577533336,-4.64654305163337,-1.61521818298665,0.351645001850741,2.27768315306425,0.842203518374134,1.8891243866394,1.72402223678981,1.62934547096762,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,-4.40000121936168,0,4.20000142834165,6.00000216437297,3.49999948953466,2.90000174265121,4.08274863648847,6.12889047620018,0.0416214618442581,-3.45009868360484,0.991359301460875,-5.8382807331314,-23.9834174420578,1.33936343647989,15.0000000288634,13.5443697551026,7.27427735460373,4.69114645093549,2.18148971840458,3.05462423430785,4.2059985561951,13.6656865230232,2.98985001039553,10.9528617687103,15.0289153175302,11.5476831781633,14.0100182426328,11.1661383303613,0.858712615098312,4.85921958436937,3.47198137230222,8.54214733707519,4.95459047755875,4.8226255492722,0.94357561305911,-2.58009724033977,-0.147207426247036,-2.13349325676356,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Antigua and Barbuda,ATG,..,..,..,..,..,..,..,..,4.38362792086504,8.07974533665914,8.16143079697964,3.81491616554095,-0.0840122638518039,5.36401627271424,10.1649955948421,7.6437935974254,11.4938285653697,6.62636884664514,5.21327290002557,5.2522746560909,3.01164666223812,2.17687336256473,1.15832626873824,5.28007148779103,6.67619516293692,-4.35949398995461,6.60481808836559,5.471131931738,4.73131371210214,3.70789461849279,6.69174238194239,-4.95407471089256,1.02410086163871,6.05790854956044,5.736460188482,6.41240516399535,12.728507447159,9.25942055972271,-0.03013326815055,-12.1075361856213,-7.20002446135504,-2.07912704683282,3.50660922205834,-0.103864693282389,4.65812743059392,4.02573680753291,5.5897408043279,3.03260611189997,4.93065090850533,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Argentina,ARG,3.04564331900328,5.65813108318036,1.62841651625511,2.81175404095775,5.53380439483222,-0.0284121027670921,-2.01825151667566,6.93414775537975,-4.50612480247693,10.2227634648727,1.51878394940456,-5.18978914005386,-0.735659161627297,4.34909327957422,1.57073870223007,-5.18902435215529,6.15337706274559,2.70486882600891,-1.08993334173134,-7.15694965554972,-2.46721377637459,9.13311056620103,7.93729155643075,8.20697907221228,5.83620070368526,-2.84520961057081,5.52668982715234,8.1110467707457,3.85017885156229,-3.3854570406327,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068155,8.85165992013435,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.02642045443208,2.40532378079436,-2.51261532081396,2.73115982828946,-2.08032784377811,2.66859037935303,-2.51458960248539,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Armenia,ARM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,-11.6999984849208,-41.8000027447203,-8.79999879416236,5.40000278277381,6.89999841554014,5.86540075090531,3.32107969826836,7.29999998931331,3.30000000199068,5.90000000103537,9.55664149980662,13.1863005304562,14.0407950552142,10.4678418560027,13.8657112537337,13.1980035180683,13.7492019576137,6.90000000204793,-14.1499886393402,2.19999999752649,4.69999999879775,7.20000000365837,3.3,3.60000000058993,3.19999999896625,0.199999999825991,7.5000000006513,5.2,..
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.078431372549,18.6486486486487,12.129840546697,3.96140172676485,7.96287249633609,5.88235294117648,7.30769230769231,8.20390282755874,2.54714266234267,1.18578998761679,7.04687220657434,1.99198836186616,1.23803928308813,7.6165897041888,-2.97125698742023,-3.27364688726264,1.97554728660143,7.91156467197911,1.21434883180251,1.0506066363106,1.800225853688,-0.090707753517691,-10.5197476066345,-3.68502958088573,3.44605475040258,-1.36986301369863,4.19823232323233,0.848227809754619,-0.450585761489947,-0.211225105612556,1.33051103719384,..,..
